,agg_func_mean
Start,2009-01-02 00:00:00
End,2024-12-30 00:00:00
Period,4025 days 00:00:00
Start Value,1000000.0
End Value,2744001.002936659
Total Return [%],174.40010029366593
Benchmark Return [%],3634.9156465970054
Max Gross Exposure [%],44.01106527921116
Total Fees Paid,90.06020099484651
Max Drawdown [%],19.731406867874032
Max Drawdown Duration,734 days 16:49:29.072164952
Total Trades,97
Total Closed Trades,0.0
Total Open Trades,1.0
Open Trade PnL,1744001.0029366591
Win Rate [%],96.90721649484536
Best Trade [%],
Worst Trade [%],
Avg Winning Trade [%],
Avg Losing Trade [%],
Avg Winning Trade Duration,
Avg Losing Trade Duration,
Profit Factor,
Expectancy,
Sharpe Ratio,0.5097539386669899
Calmar Ratio,0.2608574786783906
Omega Ratio,1.118180007615052
Sortino Ratio,0.7438523359781769
Avg Trade PnL [%],1854.8471791930372
Avg Hold Period [D],4455.649484536082
CAGR [%],6.51326703491813
Sharpe,0.5097539386669899
